example_id,conversation_id,customer_tweet_id,customer_message,brand,intent,difficulty,annotation_notes
GOLDEN_001,1267628,1267636,@AmazonHelp Item was already returned. I refused to accept damaged product. Pls read original tweet. Issue is that @115850 rejected my product review.,AmazonHelp,damaged_defective_item,medium,Verified from Test Split conversation 1267628.
GOLDEN_002,277066,277060,"@AmazonHelp ""October 11, 2017 11:06 am Picked Up by Shipping Partner, USPS Awaiting Item, TRACY, CA 95304"" That's all they've got.",AmazonHelp,delivery_tracking_delay,medium,Verified from Test Split conversation 277066.
GOLDEN_003,2925526,2925525,"@AmazonHelp It was not shipped until last night, my whole thing is that do not guarantee a delivery date if it won't happen, it was a preorder of a book but at this point I should have gone to a store to buy it instead of your website",AmazonHelp,delivery_tracking_delay,medium,Verified from Test Split conversation 2925526.
GOLDEN_004,2011940,2011940,@116935 I subscribe to Amazon music unlimited and is connected to my echo device. Currently unable to locate and play any music.,AmazonHelp,prime_subscription_services,hard,Verified from Test Split conversation 2011940.
GOLDEN_005,65852,65852,"@115821 germany blocked my account for CC check several months ago but continue sending me spam, sorry @115821, can't buy shit bc you blocked my account, 2 months after you did another check, I'm sure it has nothing to do with germens hating eastern europeans.",AmazonHelp,account_access_security,medium,Verified from Test Split conversation 65852.
GOLDEN_006,12549,12553,@115850 fake GST INVOICE is given by amazon,AmazonHelp,payment_billing_issue,hard,Verified from Test Split conversation 12549.
GOLDEN_007,808116,808110,"@115850 Despite of giving details, no action from ur side. Trap customer by sending wrong product and then refuse to return is ur habit",AmazonHelp,refund_return_cancellation,hard,Verified from Test Split conversation 808116.
GOLDEN_008,522590,522590,"Hey @AmazonHelp, I recently got my 2nd @117634 Voyage. Can I remove the ""swipe to unlock"" screen like I did my first one? I chatted with 2 CSRs already and they were of no help. Trying to find my old chat transcript about my 1st Kindle but I may have deleted it already.",AmazonHelp,prime_subscription_services,medium,Verified from Test Split conversation 522590.
GOLDEN_009,2457763,2457763,"Since How I met Your Mother is now removed from Netflix, @115850 @AmazonHelp can you get it on Prime Videos, please?",AmazonHelp,prime_subscription_services,medium,Verified from Test Split conversation 2457763.
GOLDEN_010,2884138,2884129,@AmazonHelp I have already waited for a long time just to get that refund and now I will not wait. You just cancel the refund I dont need it now. Thanks for you help btw.,AmazonHelp,refund_return_cancellation,medium,Verified from Test Split conversation 2884138.
GOLDEN_011,320358,320349,#AmazonIndia with new offers extra money is being charged and refund not credited even after 2 weeks. CC asking for bank details .#Poorserv,AmazonHelp,refund_return_cancellation,easy,Verified from Test Split conversation 320358.
GOLDEN_012,2891852,2891852,@120533 quand tu contactes amazon par mail pour un problème et que une heure après ils te rappellent !! Leur SAV est top!!,AmazonHelp,general_inquiry_support,hard,Verified from Test Split conversation 2891852.
GOLDEN_013,544458,544458,@115830 not particularly happy paying a prime membership to be waiting weeks for deliveries. 3 of my parcels say this! https://t.co/vDMbTXAMub,AmazonHelp,prime_subscription_services,easy,Verified from Test Split conversation 544458.
GOLDEN_014,327589,327589,@AmazonHelp how do I get a product that arrived defective to be exchanged for one that works?,AmazonHelp,damaged_defective_item,medium,Verified from Test Split conversation 327589.
GOLDEN_015,1379897,1379897,@119625 When new episode of @41845 gets uploaded ??,AmazonHelp,general_inquiry_support,hard,Verified from Test Split conversation 1379897.
GOLDEN_016,319139,319130,"@AmazonHelp Oui oui, je l’ai guidé jusqu’à la secrétaire, donc j’espère bien qu’il a livré mon colis! :)",AmazonHelp,general_inquiry_support,medium,Verified from Test Split conversation 319139.
GOLDEN_017,463917,463917,"I was purchased the wrong mobile. I was not aware that, it is not compatible with JIO sim. I want to return my order 404-9391432-5602714. But amazon support team is not allowing to return my product. It is less than 10 Days. @115851 @115830 @115821 @AmazonHelp",AmazonHelp,refund_return_cancellation,medium,Verified from Test Split conversation 463917.
GOLDEN_018,938041,938041,@AmazonHelp help. Just ordered a book but ordered the kindle option and paid... How do I cancel it? I don't want the kindle copy,AmazonHelp,prime_subscription_services,medium,Verified from Test Split conversation 938041.
GOLDEN_019,652173,652172,One of the mugs I ordered off @AmazonHelp came broken in a bunch of pieces though so that’s sad. 😭,AmazonHelp,damaged_defective_item,medium,Verified from Test Split conversation 652173.
GOLDEN_020,341604,341604,@115850 I have a bought one product from Amazon but now found size of it small so I have initiated return. Also wanted to exchange fr size,AmazonHelp,refund_return_cancellation,hard,Verified from Test Split conversation 341604.
GOLDEN_021,378672,378671,@AmazonHelp @115850 there is no such option to avail the Invoice,AmazonHelp,payment_billing_issue,medium,Verified from Test Split conversation 378672.
GOLDEN_022,2985440,2985439,@AmazonHelp Technically no because I wasn't given one but regardless the game comes out dec 1 and it has not only not shipped it will be shipping after the release.,AmazonHelp,delivery_tracking_delay,medium,Verified from Test Split conversation 2985440.
GOLDEN_023,2594352,2594352,@115821 thanks for the update. Guess I'm still on the hook for the full shipping fee even when it arrives late? #SecondClass #NotPrime https://t.co/iHxdD8saxr,AmazonHelp,account_access_security,easy,Verified from Test Split conversation 2594352.
GOLDEN_024,932235,932235,"Ieri sera ho fatto serata e son tornato tardino a casa. Aspettavo un pacco da Amazon Prime. IL CORRIERE HA CITOFONATO ALLE 9, DI SABATO",AmazonHelp,damaged_defective_item,easy,Verified from Test Split conversation 932235.
GOLDEN_025,468805,468805,#jeff bezos and team again proved Amazon is going from BAD to WORST Order id 408-1374666-5124322 Ordered MOTOG5PLUS Opened the pck found BEDSHEET immediately lodged complaint agent asked me to whatsapp the courier details. today ur team says the status is NO REFUND? NO REPLACE https://t.co/3iT7hnaZho,AmazonHelp,refund_return_cancellation,easy,Verified from Test Split conversation 468805.
GOLDEN_026,1363574,1363574,@115850 your seller The GlobalCart is selling dupes of @9637 bags. Please cancel & refund order 408-7812117-1497946 ASAP!,AmazonHelp,refund_return_cancellation,easy,Verified from Test Split conversation 1363574.
GOLDEN_027,2971868,2971867,"@AmazonHelp Yes, this order and the past one, since switching to the new system. It is not working. Please send this up the chain of command, fix it.",AmazonHelp,damaged_defective_item,medium,Verified from Test Split conversation 2971868.
GOLDEN_028,343814,343808,@AmazonHelp It a confirms the refund ref. no. I need to confirm the account dtls 2 whch d same has been credited. Coz no credit to my acctn till 2nd nov,AmazonHelp,refund_return_cancellation,medium,Verified from Test Split conversation 343814.
GOLDEN_029,2179014,2179013,@AmazonHelp Yeah I can sign in and I’ve managed to change my email back but I’m just confused as to how my email was able to be changed without any confirmation on my part and how something was ordered off of my account,AmazonHelp,account_access_security,medium,Verified from Test Split conversation 2179014.
GOLDEN_030,1744062,1744064,@AmazonHelp That form requires me to sign in...which I cannot do because my account has been locked!,AmazonHelp,account_access_security,medium,Verified from Test Split conversation 1744062.
GOLDEN_031,2139356,2139356,@115850 @85016 my order was out for delivery on 17th but till now I havent received it nor anyone contacted. This is ridiculous😡👺,AmazonHelp,delivery_tracking_delay,hard,Verified from Test Split conversation 2139356.
GOLDEN_032,2011955,2011955,"@AmazonHelp @115830 Still got my #GTSport copy in preparation for dispatch, supposed to be delivered tomorrow, one day after release #late",AmazonHelp,delivery_tracking_delay,medium,Verified from Test Split conversation 2011955.
GOLDEN_033,2353715,2353715,@115850 I brought LG Q6 by seeing review in Amazon.The review are fake don't believe.The performance of phone is worst and battery backup worst.After that I gone for return option.That too Amazon cheating by telling easy return.But there is no easy return option.Iwantmoneyback https://t.co/7RT829ls8v,AmazonHelp,refund_return_cancellation,hard,Verified from Test Split conversation 2353715.
GOLDEN_034,837814,837814,"How much worse can @115830 @AmazonHelp get? 1 lost TV, 1 broken TV, and now...THIRD TV lost - again. Son's birthday ruined, awful service.",AmazonHelp,damaged_defective_item,medium,Verified from Test Split conversation 837814.
GOLDEN_035,2856670,2856670,"@117086 tentando comprar uns livros, mas ao mudar de capa comum pra e-book Kindle só é disponibilizada a opção de enviar amostra. O que acontece?",AmazonHelp,prime_subscription_services,hard,Verified from Test Split conversation 2856670.
GOLDEN_036,285568,285566,@AmazonHelp Details : NAME : AJAY SHANKAR ORDER NO.: 4__credit_card__ ORDER DATE : 29.09.2017 INVOICE DATE : 04.10.2017 PAYMENT DONE BY CREDIT CARD https://t.co/fDBEYZWyhI,AmazonHelp,payment_billing_issue,medium,Verified from Test Split conversation 285568.
GOLDEN_037,1557719,1617970,"@AmazonHelp but I didn't receive any email ,and when I m calling to you from amazon app it shows ""you r blocked ""?",AmazonHelp,account_access_security,medium,Verified from Test Split conversation 1557719.
